ORIGIN,STATE,CITY,LOCAL,IATA,IDENT,NAME
CSG,GA,Columbus,CSG,CSG,KCSG,Columbus Metropolitan Airport
BQK,GA,Brunswick,BQK,BQK,KBQK,Brunswick Golden Isles Airport
SUN,ID,Hailey,SUN,SUN,KSUN,Friedman Memorial Airport
SFO,CA,San Francisco,SFO,SFO,KSFO,San Francisco International Airport
MEM,TN,Memphis,MEM,MEM,KMEM,Memphis International Airport
SAF,NM,Santa Fe,SAF,SAF,KSAF,Santa Fe Municipal Airport
ELP,TX,El Paso,ELP,ELP,KELP,El Paso International Airport
BHM,AL,Birmingham,BHM,BHM,KBHM,Birmingham-Shuttlesworth International Airport
FLL,FL,Fort Lauderdale,FLL,FLL,KFLL,Fort Lauderdale Hollywood International Airport
ATL,GA,Atlanta,ATL,ATL,KATL,Hartsfield Jackson Atlanta International Airport
FNT,MI,Flint,FNT,FNT,KFNT,Bishop International Airport
PIH,ID,Pocatello,PIH,PIH,KPIH,Pocatello Regional Airport
AZA,AZ,Mesa,IWA,AZA,KIWA,Phoenix–Mesa Gateway Airport
RIC,VA,Richmond,RIC,RIC,KRIC,Richmond International Airport
AKN,AK,King Salmon,AKN,AKN,PAKN,King Salmon Airport
LCK,OH,Columbus,LCK,LCK,KLCK,Rickenbacker International Airport
DAY,OH,Dayton,DAY,DAY,KDAY,James M Cox Dayton International Airport
PHF,VA,Newport News,PHF,PHF,KPHF,Newport News Williamsburg International Airport
OMA,NE,Omaha,OMA,OMA,KOMA,Eppley Airfield
SJT,TX,San Angelo,SJT,SJT,KSJT,San Angelo Regional Mathis Field
LCH,LA,Lake Charles,LCH,LCH,KLCH,Lake Charles Regional Airport
STC,MN,Saint Cloud,STC,STC,KSTC,Saint Cloud Regional Airport
TEX,CO,Telluride,TEX,TEX,KTEX,Telluride Regional Airport
VPS,FL,Valparaiso,VPS,VPS,KVPS,Destin-Fort Walton Beach Airport
MHK,KS,Manhattan,MHK,MHK,KMHK,Manhattan Regional Airport
BPT,TX,Beaumont/Port Arthur,BPT,BPT,KBPT,Jack Brooks Regional Airport
TKI,TX,Dallas,TKI,,KTKI,McKinney National Airport
TKI,AK,Tokeen,57A,TKI,57A,Tokeen Seaplane Base
LIT,AR,Little Rock,LIT,LIT,KLIT,Bill & Hillary Clinton National Airport/Adams Field
MVY,MA,Martha's Vineyard,MVY,MVY,KMVY,Martha's Vineyard Airport
ECP,FL,Panama City Beach,ECP,ECP,KECP,Northwest Florida Beaches International Airport
FAT,CA,Fresno,FAT,FAT,KFAT,Fresno Yosemite International Airport
ICT,KS,Wichita,ICT,ICT,KICT,Wichita Eisenhower National Airport
CAE,SC,Columbia,CAE,CAE,KCAE,Columbia Metropolitan Airport
PFN,,,,,,
ORD,IL,Chicago,ORD,ORD,KORD,Chicago O'Hare International Airport
AVP,PA,Wilkes-Barre/Scranton,AVP,AVP,KAVP,Wilkes Barre Scranton International Airport
LBE,PA,Latrobe,LBE,LBE,KLBE,Arnold Palmer Regional Airport
LBL,KS,Liberal,LBL,LBL,KLBL,Liberal Mid-America Regional Airport
BTV,VT,South Burlington,BTV,BTV,KBTV,Burlington International Airport
COU,MO,Columbia,COU,COU,KCOU,Columbia Regional Airport
MKG,MI,Muskegon,MKG,MKG,KMKG,Muskegon County Airport
AEX,LA,Alexandria,AEX,AEX,KAEX,Alexandria International Airport
SPS,TX,Wichita Falls,SPS,SPS,KSPS,Sheppard Air Force Base / Wichita Falls Municipal Airport
BIL,MT,Billings,BIL,BIL,KBIL,Billings Logan International Airport
ILM,NC,Wilmington,ILM,ILM,KILM,Wilmington International Airport
SMX,CA,Santa Maria,SMX,SMX,KSMX,Santa Maria Public Airport Captain G Allan Hancock Field
PUB,CO,Pueblo,PUB,PUB,KPUB,Pueblo Memorial Airport
PIA,IL,Peoria,PIA,PIA,KPIA,General Wayne A. Downing Peoria International Airport
GUM,,,,,,
RDU,NC,Raleigh/Durham,RDU,RDU,KRDU,Raleigh Durham International Airport
BQN,,,,,,
MFE,TX,McAllen,MFE,MFE,KMFE,McAllen Miller International Airport
HIB,MN,Hibbing,HIB,HIB,KHIB,Range Regional Airport
PGV,NC,Greenville,PGV,PGV,KPGV,Pitt Greenville Airport
MKE,WI,Milwaukee,MKE,MKE,KMKE,General Mitchell International Airport
SYR,NY,Syracuse,SYR,SYR,KSYR,Syracuse Hancock International Airport
ISN,ND,Williston,ISN,ISN,KISN,Sloulin Field International Airport
BLV,IL,Belleville,BLV,BLV,KBLV,Scott AFB/Midamerica Airport
LFT,LA,Lafayette,LFT,LFT,KLFT,Lafayette Regional Airport
HSV,AL,Huntsville,HSV,HSV,KHSV,Huntsville International Carl T Jones Field
TUS,AZ,Tucson,TUS,TUS,KTUS,Tucson International Airport / Morris Air National Guard Base
PIT,PA,Pittsburgh,PIT,PIT,KPIT,Pittsburgh International Airport
MTJ,CO,Montrose,MTJ,MTJ,KMTJ,Montrose Regional Airport
ROW,NM,Roswell,ROW,ROW,KROW,Roswell Air Center Airport
ACY,NJ,Atlantic City,ACY,ACY,KACY,Atlantic City International Airport
MDW,IL,Chicago,MDW,MDW,KMDW,Chicago Midway International Airport
AZO,MI,Kalamazoo,AZO,AZO,KAZO,Kalamazoo Battle Creek International Airport
PLN,MI,Pellston,PLN,PLN,KPLN,Pellston Regional Airport of Emmet County Airport
COS,CO,Colorado Springs,COS,COS,KCOS,City of Colorado Springs Municipal Airport
OAJ,NC,Richlands,OAJ,OAJ,KOAJ,Albert J Ellis Airport
CKB,WV,Clarksburg,CKB,CKB,KCKB,North Central West Virginia Airport
JNU,AK,Juneau,JNU,JNU,PAJN,Juneau International Airport
IND,IN,Indianapolis,IND,IND,KIND,Indianapolis International Airport
ALO,IA,Waterloo,ALO,ALO,KALO,Waterloo Regional Airport
KOA,HI,Kailua-Kona,KOA,KOA,PHKO,Ellison Onizuka Kona International Airport at Keahole
EAU,WI,Eau Claire,EAU,EAU,KEAU,Chippewa Valley Regional Airport
GPT,MS,Gulfport,GPT,GPT,KGPT,Gulfport Biloxi International Airport
MGM,AL,Montgomery,MGM,MGM,KMGM,Montgomery Regional (Dannelly Field) Airport
OWB,KY,Owensboro,OWB,OWB,KOWB,Owensboro Daviess County Airport
DTW,MI,Detroit,DTW,DTW,KDTW,Detroit Metropolitan Wayne County Airport
HOU,TX,Houston,HOU,HOU,KHOU,William P Hobby Airport
TYS,TN,Alcoa,TYS,TYS,KTYS,McGhee Tyson Airport
CHA,TN,Chattanooga,CHA,CHA,KCHA,Chattanooga Metropolitan Airport (Lovell Field)
YUM,AZ,Yuma,NYL,YUM,KNYL,Yuma International Airport / Marine Corps Air Station Yuma
ADQ,AK,Kodiak,ADQ,ADQ,PADQ,Kodiak Airport
ONT,CA,Ontario,ONT,ONT,KONT,Ontario International Airport
MDT,PA,Harrisburg,MDT,MDT,KMDT,Harrisburg International Airport
FWA,IN,Fort Wayne,FWA,FWA,KFWA,Fort Wayne International Airport
JAX,FL,Jacksonville,JAX,JAX,KJAX,Jacksonville International Airport
STS,CA,Santa Rosa,STS,STS,KSTS,Charles M. Schulz Sonoma County Airport
LAX,CA,Los Angeles,LAX,LAX,KLAX,Los Angeles International Airport
MSP,MN,Minneapolis,MSP,MSP,KMSP,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field
MOT,ND,Minot,MOT,MOT,KMOT,Minot International Airport
HTS,WV,Huntington,HTS,HTS,KHTS,Tri-State/Milton J. Ferguson Field
BTR,LA,Baton Rouge,BTR,BTR,KBTR,Baton Rouge Metropolitan Airport
SIT,AK,Sitka,SIT,SIT,PASI,Sitka Rocky Gutierrez Airport
BGR,ME,Bangor,BGR,BGR,KBGR,Bangor International Airport
MCO,FL,Orlando,MCO,MCO,KMCO,Orlando International Airport
ROC,NY,Rochester,ROC,ROC,KROC,Frederick Douglass Greater Rochester International Airport
SGF,MO,Springfield,SGF,SGF,KSGF,Springfield Branson National Airport
AGS,GA,Augusta,AGS,AGS,KAGS,Augusta Regional At Bush Field
OTZ,AK,Kotzebue,OTZ,OTZ,PAOT,Ralph Wien Memorial Airport
WYS,MT,West Yellowstone,WYS,WYS,KWYS,Yellowstone Airport
SAN,CA,San Diego,SAN,SAN,KSAN,San Diego International Airport
BZN,MT,Bozeman,BZN,BZN,KBZN,Gallatin Field
SHD,VA,Weyers Cave,SHD,SHD,KSHD,Shenandoah Valley Regional Airport
GGG,TX,Longview,GGG,GGG,KGGG,East Texas Regional Airport
YAK,AK,Yakutat,YAK,YAK,PAYA,Yakutat Airport
